receptor,rep,n_frames_total,n_frames_used,early_frac,n_windows,rmsd_mean,rmsd_std,rmsd_max,rg_mean,rg_std,tm3_tm6_mean,tm3_tm6_std,simID,traj_file,top_file,label,dominant_cluster_frac,silhouette,y,early_ts_path,early_frames_path
Adenosine_receptor_A2a~4UHR_A,1,2500,1200,0.5,1,2.835552390757978,0.6441735386491196,4.589905488472603,23.091633213356623,0.15385706956999978,36.34764335541297,0.517465262500817,45,Adenosine_receptor_A2a~4UHR_A~unknown~10470_trj_45.xtc,Adenosine_receptor_A2a~4UHR_A~unknown~10475_dyn_45.psf,single_state,0.6008333333333333,0.4653124511241913,0,early_ts_Adenosine_receptor_A2a_4UHR_A_rep1_45.npy,early_frames_Adenosine_receptor_A2a_4UHR_A_rep1_45.npy
Adenosine_receptor_A2a~4UHR_A,1,1000,450,0.5,1,1.9286739390403231,0.3985358567985444,2.751614441358869,22.575568645958988,0.12142363187084419,34.373711183770304,0.3260478989721109,46,Adenosine_receptor_A2a~4UHR_A~unknown~10484_trj_46.xtc,Adenosine_receptor_A2a~4UHR_A~unknown~10482_dyn_46.psf,single_state,0.5,0.26092952489852905,0,early_ts_Adenosine_receptor_A2a_4UHR_A_rep1_46.npy,early_frames_Adenosine_receptor_A2a_4UHR_A_rep1_46.npy
Adenosine_receptor_A2a~5G53_A,2,500,200,0.5,1,1.952393545407496,0.36181814206150115,2.902076289742124,22.982775873358552,0.13593448532193114,33.95300864660957,0.36959412089767324,48,Adenosine_receptor_A2a~5G53_A~unknown~10496_trj_48.xtc,Adenosine_receptor_A2a~5G53_A~48~10499_dyn_48.psf,single_state,0.8,0.43069180846214294,0,early_ts_Adenosine_receptor_A2a_5G53_A_rep2_48.npy,early_frames_Adenosine_receptor_A2a_5G53_A_rep2_48.npy
Adenosine_receptor_A2a~5IU4_A,1,2500,1200,0.5,1,2.571227358162592,0.3246302374208813,3.3782583947457714,22.29537326810394,0.16529047087354087,35.70972325059161,0.8174746342451185,49,Adenosine_receptor_A2a~5IU4_A~unknown~10504_trj_49.xtc,Adenosine_receptor_A2a~5IU4_A~unknown~10509_dyn_49.psf,multi_state,0.6883333333333334,0.5929948091506958,1,early_ts_Adenosine_receptor_A2a_5IU4_A_rep1_49.npy,early_frames_Adenosine_receptor_A2a_5IU4_A_rep1_49.npy
Adenosine_receptor_A2a~5IU4_A,1,2500,1200,0.5,1,2.3711543067406877,0.5343384990372013,3.703790189487865,22.4947866365091,0.13659371483302363,35.10751271009313,0.5974472193563278,50,Adenosine_receptor_A2a~5IU4_A~unknown~10513_trj_50.xtc,Adenosine_receptor_A2a~5IU4_A~unknown~10517_dyn_50.psf,single_state,0.8170833333333334,0.5153111219406128,0,early_ts_Adenosine_receptor_A2a_5IU4_A_rep1_50.npy,early_frames_Adenosine_receptor_A2a_5IU4_A_rep1_50.npy
Adenosine_receptor_A2a~5IU7_A,1,2500,1200,0.5,1,2.357486552330258,0.4067058480425382,3.2821107984821327,22.04827782356063,0.1342895326506756,36.068796887945545,0.43638017495974674,51,Adenosine_receptor_A2a~5IU7_A~unknown~10520_trj_51.xtc,Adenosine_receptor_A2a~5IU7_A~unknown~10525_dyn_51.psf,single_state,0.7145833333333333,0.4929991662502289,0,early_ts_Adenosine_receptor_A2a_5IU7_A_rep1_51.npy,early_frames_Adenosine_receptor_A2a_5IU7_A_rep1_51.npy
Adenosine_receptor_A2a~5IU8_A,1,2500,1200,0.5,1,3.1848513013194846,0.6650684354172253,4.517349061516033,22.73520766119473,0.18432584268527413,36.017724405146204,0.6267894178596589,52,Adenosine_receptor_A2a~5IU8_A~unknown~10529_trj_52.xtc,Adenosine_receptor_A2a~5IU8_A~unknown~10534_dyn_52.psf,multi_state,0.5158333333333334,0.5336968898773193,1,early_ts_Adenosine_receptor_A2a_5IU8_A_rep1_52.npy,early_frames_Adenosine_receptor_A2a_5IU8_A_rep1_52.npy
Adenosine_receptor_A2a~5IUA_A,1,2500,1200,0.5,1,2.365152015731625,0.2568415835125706,3.065642455007343,22.3674534972075,0.16804425584214747,35.670289827176745,0.6187716044421103,53,Adenosine_receptor_A2a~5IUA_A~unknown~10536_trj_53.xtc,Adenosine_receptor_A2a~5IUA_A~unknown~10540_dyn_53.psf,single_state,0.6845833333333333,0.48338308930397034,0,early_ts_Adenosine_receptor_A2a_5IUA_A_rep1_53.npy,early_frames_Adenosine_receptor_A2a_5IUA_A_rep1_53.npy
Adenosine_receptor_A2a~5IUB_A,1,2500,1200,0.5,1,3.2658613999565085,0.4086432252192005,4.503442958666911,22.693479579177332,0.14945506589396435,35.50380030582111,0.7745457187131828,54,Adenosine_receptor_A2a~5IUB_A~unknown~10544_trj_54.xtc,Adenosine_receptor_A2a~5IUB_A~unknown~10549_dyn_54.psf,multi_state,0.5866666666666667,0.5287511348724365,1,early_ts_Adenosine_receptor_A2a_5IUB_A_rep1_54.npy,early_frames_Adenosine_receptor_A2a_5IUB_A_rep1_54.npy
Adenosine_receptor_A2a~5K2C,1,2500,1200,0.5,1,2.048926790254489,0.22979432317629483,2.6916314997939406,22.735849365955293,0.12233189177009286,35.26318067943435,0.43148116864656016,998,Adenosine_receptor_A2a~5K2C~unknown~17111_trj_998.xtc,Adenosine_receptor_A2a~5K2C~998~17108_dyn_998.psf,single_state,0.5716666666666667,0.47147032618522644,0,early_ts_Adenosine_receptor_A2a_5K2C_rep1_998.npy,early_frames_Adenosine_receptor_A2a_5K2C_rep1_998.npy
Adenosine_receptor_A2a~5K2C,2,2500,1200,0.5,1,2.251209163084035,0.30272102607966034,3.096452060996784,22.768779795345438,0.15847681574598405,34.85235405597242,0.40450559820177806,999,Adenosine_receptor_A2a~5K2C~unknown~17118_trj_999.xtc,Adenosine_receptor_A2a~5K2C~999~17115_dyn_999.psf,single_state,0.64125,0.4727824926376343,0,early_ts_Adenosine_receptor_A2a_5K2C_rep2_999.npy,early_frames_Adenosine_receptor_A2a_5K2C_rep2_999.npy
Adenosine_receptor_A2a~5OLG,1,2500,1200,0.5,1,2.314337791124663,0.3553458522486462,3.2885772267225204,23.181907037979386,0.11098664227191268,35.28049699217787,0.4298712424383027,922,Adenosine_receptor_A2a~5OLG~unknown~16604_trj_922.xtc,Adenosine_receptor_A2a~5OLG~922~16601_dyn_922.psf,single_state,0.81875,0.5849616527557373,0,early_ts_Adenosine_receptor_A2a_5OLG_rep1_922.npy,early_frames_Adenosine_receptor_A2a_5OLG_rep1_922.npy
Adenosine_receptor_A2a~5OLH,1,2500,1200,0.5,1,3.0712330050593457,0.4170849905931436,4.306880251314877,23.279047379787627,0.16004172169490907,34.36355119863817,1.2845285844234893,930,Adenosine_receptor_A2a~5OLH~unknown~16660_trj_930.xtc,Adenosine_receptor_A2a~5OLH~930~16657_dyn_930.psf,multi_state,0.5883333333333334,0.533974826335907,1,early_ts_Adenosine_receptor_A2a_5OLH_rep1_930.npy,early_frames_Adenosine_receptor_A2a_5OLH_rep1_930.npy
Adenosine_receptor_A2a~5VRA,1,2500,1200,0.5,1,2.494455361357029,0.3906179012450587,3.7512400660805785,23.16210276323595,0.16860915846746305,35.73161018429442,0.47635063324324506,1011,Adenosine_receptor_A2a~5VRA~unknown~17202_trj_1011.xtc,Adenosine_receptor_A2a~5VRA~1011~17199_dyn_1011.psf,multi_state,0.5245833333333333,0.5616740584373474,1,early_ts_Adenosine_receptor_A2a_5VRA_rep1_1011.npy,early_frames_Adenosine_receptor_A2a_5VRA_rep1_1011.npy
Beta-1_adrenergic_receptor~2Y00_B,1,2500,1200,0.5,1,3.5959311544182735,0.8242062096511475,5.144937050702525,22.964048418866863,0.19708063412985713,47.452737036671216,2.2247860395525922,13,Beta-1_adrenergic_receptor~2Y00_B~unknown~10201_trj_13.xtc,Beta-1_adrenergic_receptor~2Y00_B~unknown~10204_dyn_13.psf,single_state,0.575,0.45663437247276306,0,early_ts_Beta-1_adrenergic_receptor_2Y00_B_rep1_13.npy,early_frames_Beta-1_adrenergic_receptor_2Y00_B_rep1_13.npy
Beta-1_adrenergic_receptor~2Y00_B,1,2000,950,0.5,1,2.104625105981236,0.43813928581382017,3.0769824573755393,21.464836117935125,0.12513849673050403,44.20044261745995,1.653870375692956,14,Beta-1_adrenergic_receptor~2Y00_B~unknown~10209_trj_14.xtc,Beta-1_adrenergic_receptor~2Y00_B~14~10212_dyn_14.psf,single_state,0.8789473684210526,0.518391489982605,0,early_ts_Beta-1_adrenergic_receptor_2Y00_B_rep1_14.npy,early_frames_Beta-1_adrenergic_receptor_2Y00_B_rep1_14.npy
Beta-1_adrenergic_receptor~2Y00_B,1,2500,1200,0.5,1,2.6127458751743777,0.3976875457567892,3.9505064916806774,22.587870891708675,0.18428431971660575,48.648374858629154,1.45997804432284,15,Beta-1_adrenergic_receptor~2Y00_B~unknown~10219_trj_15.xtc,Beta-1_adrenergic_receptor~2Y00_B~unknown~10223_dyn_15.psf,single_state,0.5604166666666667,0.37051352858543396,0,early_ts_Beta-1_adrenergic_receptor_2Y00_B_rep1_15.npy,early_frames_Beta-1_adrenergic_receptor_2Y00_B_rep1_15.npy
Beta-1_adrenergic_receptor~2Y00_B,2,2500,1200,0.5,1,1.7828027667840232,0.22213182869194592,2.5328693172293453,21.31047352800155,0.08907613499855419,45.73944865425128,0.7046513254339608,16,Beta-1_adrenergic_receptor~2Y00_B~unknown~10226_trj_16.xtc,Beta-1_adrenergic_receptor~2Y00_B~16~10230_dyn_16.psf,multi_state,0.5333333333333333,0.558520495891571,1,early_ts_Beta-1_adrenergic_receptor_2Y00_B_rep2_16.npy,early_frames_Beta-1_adrenergic_receptor_2Y00_B_rep2_16.npy
Beta-1_adrenergic_receptor~2Y02_B,1,1000,450,0.5,1,3.191055232243914,0.536713094034504,4.77089441795916,22.614869440403456,0.19039473906678286,46.26740119936415,2.0501235865321616,17,Beta-1_adrenergic_receptor~2Y02_B~unknown~10233_trj_17.xtc,Beta-1_adrenergic_receptor~2Y02_B~unknown~10238_dyn_17.psf,single_state,0.5,0.44214653968811035,0,early_ts_Beta-1_adrenergic_receptor_2Y02_B_rep1_17.npy,early_frames_Beta-1_adrenergic_receptor_2Y02_B_rep1_17.npy
Beta-1_adrenergic_receptor~2Y02_B,1,2500,1200,0.5,1,2.24709771624087,0.4139551755577898,3.3215669311221725,21.5893225062828,0.16511907748962484,45.3335916861269,0.9497907643486587,18,Beta-1_adrenergic_receptor~2Y02_B~unknown~10244_trj_18.xtc,Beta-1_adrenergic_receptor~2Y02_B~unknown~10242_dyn_18.psf,single_state,0.7308333333333333,0.4984208047389984,0,early_ts_Beta-1_adrenergic_receptor_2Y02_B_rep1_18.npy,early_frames_Beta-1_adrenergic_receptor_2Y02_B_rep1_18.npy
Beta-1_adrenergic_receptor~2Y02_B,1,2500,1200,0.5,1,2.844533855476085,0.4541842003572345,4.11247165688181,22.71032624954761,0.1581798611437352,48.69959914469289,1.3565308265722154,19,Beta-1_adrenergic_receptor~2Y02_B~unknown~10255_trj_19.xtc,Beta-1_adrenergic_receptor~2Y02_B~19~10254_dyn_19.psf,single_state,0.7445833333333334,0.4566437304019928,0,early_ts_Beta-1_adrenergic_receptor_2Y02_B_rep1_19.npy,early_frames_Beta-1_adrenergic_receptor_2Y02_B_rep1_19.npy
Beta-1_adrenergic_receptor~2Y02_B,1,2500,1200,0.5,1,1.7702390904895864,0.2570518248000872,2.6104427861918236,21.422196977236744,0.14108210103149318,45.5091637719764,0.6958957137577947,20,Beta-1_adrenergic_receptor~2Y02_B~unknown~10263_trj_20.xtc,Beta-1_adrenergic_receptor~2Y02_B~unknown~10260_dyn_20.psf,single_state,0.8908333333333334,0.5642144680023193,0,early_ts_Beta-1_adrenergic_receptor_2Y02_B_rep1_20.npy,early_frames_Beta-1_adrenergic_receptor_2Y02_B_rep1_20.npy
Beta-1_adrenergic_receptor~2Y03_B,1,2500,1200,0.5,1,3.3433217831924034,1.0083074119878044,5.035612012499601,21.9271394649841,0.26249551551054334,45.44363652624781,0.8026265665376414,24,Beta-1_adrenergic_receptor~2Y03_B~unknown~10293_trj_24.xtc,Beta-1_adrenergic_receptor~2Y03_B~unknown~10290_dyn_24.psf,single_state,0.56625,0.4563569128513336,0,early_ts_Beta-1_adrenergic_receptor_2Y03_B_rep1_24.npy,early_frames_Beta-1_adrenergic_receptor_2Y03_B_rep1_24.npy
Beta-1_adrenergic_receptor~2Y03_B,1,2500,1200,0.5,1,2.5358682755656043,0.33913338251729425,3.4344056173067603,22.647127514267563,0.19797438900225106,49.11003464516571,1.1299153350451763,25,Beta-1_adrenergic_receptor~2Y03_B~unknown~10303_trj_25.xtc,Beta-1_adrenergic_receptor~2Y03_B~unknown~10302_dyn_25.psf,single_state,0.56125,0.45967260003089905,0,early_ts_Beta-1_adrenergic_receptor_2Y03_B_rep1_25.npy,early_frames_Beta-1_adrenergic_receptor_2Y03_B_rep1_25.npy
Beta-1_adrenergic_receptor~2Y03_B,1,1750,825,0.5,1,3.3593732925920103,0.520139356668116,4.358553488816517,23.13576391911394,0.17761594974327455,48.234412419515444,1.7085636565179583,23,Beta-1_adrenergic_receptor~2Y03_B~unknown~11801_trj_23.xtc,Beta-1_adrenergic_receptor~2Y03_B~unknown~10285_dyn_23.psf,single_state,0.7945454545454546,0.5389882326126099,0,early_ts_Beta-1_adrenergic_receptor_2Y03_B_rep1_23.npy,early_frames_Beta-1_adrenergic_receptor_2Y03_B_rep1_23.npy
Beta-1_adrenergic_receptor~2Y03_B,1,2500,1200,0.5,1,2.3351215485936634,0.35981037662549764,3.2217239796362303,21.393428934855034,0.09350468370986237,45.61833852883548,0.6835071629753541,26,Beta-1_adrenergic_receptor~2Y03_B~unknown~11804_trj_26.xtc,Beta-1_adrenergic_receptor~2Y03_B~unknown~10310_dyn_26.psf,multi_state,0.5445833333333333,0.5284638404846191,1,early_ts_Beta-1_adrenergic_receptor_2Y03_B_rep1_26.npy,early_frames_Beta-1_adrenergic_receptor_2Y03_B_rep1_26.npy
