protein,pdbid,state,trajectory_url,topology_url,model_url
Guanine_nucleotide-binding_protein_G(s)_subunit_alpha_isoforms_short,6NBF,unknown,https://gpcrmd.org/dynadb/files/Dynamics/12139_trj_234.xtc,https://gpcrmd.org/dynadb/files/Dynamics/12141_dyn_234.psf,
Neuropeptide_Y_receptor_type_1,5ZBH,unknown,https://gpcrmd.org/dynadb/files/Dynamics/16488_trj_905.xtc,https://gpcrmd.org/dynadb/files/Dynamics/16485_dyn_905.psf,
Endothelin_receptor_type_B,5GLI,unknown,https://gpcrmd.org/dynadb/files/Dynamics/16030_trj_837.xtc,https://gpcrmd.org/dynadb/files/Dynamics/16027_dyn_837.psf,
Adenosine_receptor_A2a,5OLH,unknown,https://gpcrmd.org/dynadb/files/Dynamics/16660_trj_930.xtc,https://gpcrmd.org/dynadb/files/Dynamics/16657_dyn_930.psf,
Type-2_angiotensin_II_receptor,5UNG,unknown,https://gpcrmd.org/dynadb/files/Dynamics/16381_trj_890.xtc,https://gpcrmd.org/dynadb/files/Dynamics/16378_dyn_890.psf,
unknown,6KPF,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2545/24819_trj_2219.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn2545/24820_dyn_2219.psf,
Beta-1_adrenergic_receptor,4BVN.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11837_trj_58.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10587_dyn_58.psf,
Orexin_receptor_type_1,6TOS,unknown,https://gpcrmd.org/dynadb/files/Dynamics/15925_trj_822.xtc,https://gpcrmd.org/dynadb/files/Dynamics/15922_dyn_822.psf,
Glucagon-like_peptide_1_receptor,5VEW,unknown,https://gpcrmd.org/dynadb/files/Dynamics/15081_trj_699.xtc,https://gpcrmd.org/dynadb/files/Dynamics/15082_dyn_699.psf,
5-hydroxytryptamine_receptor_1B,4IAR.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10842_trj_87.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10843_dyn_87.psf,
unknown,9CLW,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2647/25268_trj_2296.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2647/25265_dyn_2296.psf,
5-hydroxytryptamine_receptor_2B,5TVN,unknown,https://gpcrmd.org/dynadb/files/Dynamics/12019_trj_217.xtc,https://gpcrmd.org/dynadb/files/Dynamics/12023_dyn_217.top,
Protein_smoothened,AF3M,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2714/25634_trj_2358.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn2714/25633_dyn_2358.psf,
Adenosine_receptor_A2a,3UZC.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10452_trj_42.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10447_dyn_42.psf,
Adenosine_receptor_A2a,3UZA.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10432_trj_40.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10427_dyn_40.psf,
unknown,9CM7,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2675/25457_trj_2324.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2675/25454_dyn_2324.psf,
Melatonin_receptor_type_1A,6PS8,unknown,https://gpcrmd.org/dynadb/files/Dynamics/17174_trj_1007.xtc,https://gpcrmd.org/dynadb/files/Dynamics/17171_dyn_1007.psf,
Smoothened_homolog,6OT0,unknown,https://gpcrmd.org/dynadb/files/Dynamics/12178_trj_240.xtc,https://gpcrmd.org/dynadb/files/Dynamics/12182_dyn_240.top,
Guanine_nucleotide-binding_protein_G(s)_subunit_alpha_isoforms_short,6NBF,unknown,https://gpcrmd.org/dynadb/files/Dynamics/12242_trj_247.xtc,https://gpcrmd.org/dynadb/files/Dynamics/12238_dyn_247.psf,
Rhodopsin,6FK7,unknown,https://gpcrmd.org/dynadb/files/Dynamics/16541_trj_913.xtc,https://gpcrmd.org/dynadb/files/Dynamics/16538_dyn_913.psf,
Smoothened_homolog,6OT0,unknown,https://gpcrmd.org/dynadb/files/Dynamics/12169_trj_239.xtc,https://gpcrmd.org/dynadb/files/Dynamics/12172_dyn_239.top,
Metabotropic_glutamate_receptor_1,4OR2.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10794_trj_81.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10796_dyn_81.psf,
C-X-C_chemokine_receptor_type_4,4RWS,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10837_trj_86.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10833_dyn_86.psf,
Proteinase-activated_receptor_1,3VW7.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11241_trj_129.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11243_dyn_129.psf,
Adenosine_receptor_A2a,5K2C,unknown,https://gpcrmd.org/dynadb/files/Dynamics/17118_trj_999.xtc,https://gpcrmd.org/dynadb/files/Dynamics/17115_dyn_999.psf,
Rhodopsin,3C9M,unknown,https://gpcrmd.org/dynadb/files/Dynamics/15485_trj_757.xtc,https://gpcrmd.org/dynadb/files/Dynamics/15482_dyn_757.psf,
